X,Y,FFMC,DMC,DC,ISI,temp,RH,wind,rain,area
7,6,68.39809246740741,96.64645753719002,736.5258514424872,38.60178858303174,26.02238261928115,36.68528215569023,4.4741074968353445,3.878533399142643,0.8950951781845278
4,3,50.757453766396665,26.623963028605154,417.68907606763605,35.37802737384515,27.561001849355037,20.730119670422084,1.9565685812922533,3.2179138039205313,2.5154419250067193
8,4,41.39299717213058,205.68239087085112,537.1779045959049,9.658903551305139,3.1667065134696255,70.29435150866195,2.092089544834492,5.8851554943694655,5.038739403333738
5,3,47.77020391217212,105.61021579197833,75.45646885106034,9.096334700178545,2.502723431535291,57.74144987402271,8.497534148038651,3.9680430631382304,21.761732878833634
7,8,58.142988028219676,14.293834814869475,431.99147323026483,30.696970904011476,13.307540039565612,63.084937062409026,2.5261769987300187,2.3428443007922795,19.013515844790355
3,4,43.425904565142574,46.90138997320154,603.2190230557219,36.99450327861342,6.942644812849455,18.93296808544999,6.9521586259082,4.562770739425871,15.23732811448422
7,9,93.79500931137822,40.91973843195985,505.9381176005257,53.963183810660624,27.234935799788957,80.9013348375254,2.8205390206730216,6.143212713768158,46.33231414007984
8,9,91.01351811262624,172.06156297878755,390.38272575017265,23.67030838405284,18.771443846295774,34.7500402824203,6.885058543544425,5.876341617911618,2.779385637680887
5,7,86.17703878660986,261.7337227617535,198.41647299244295,42.91309134559434,27.86832672985191,43.46962637745855,1.105273568150828,6.273726788262315,6.307637487979432
4,6,51.39181225300564,231.24950407046734,271.95577961687906,6.536813923046217,7.701996686742603,34.41006556669678,2.2665374440496415,0.6085339494941757,5.9189652101003105
8,7,72.27588712348025,159.69895626400015,605.3223902049941,49.90706643240781,21.70662624560284,95.4052876503244,4.07831162087959,2.8380396725573576,11.361192008757719
8,8,88.66927129528726,123.6094288619547,199.06740890035547,35.51733307247492,20.243352024976996,29.341354405949737,5.037849220539487,2.76921146224637,18.981424180151016
3,5,84.60828529511693,180.6399809717846,538.0462848738836,35.28860158880497,12.785765156101249,77.2471153415444,3.576559560442967,2.456394033345457,6.766495288392983
6,7,50.81034358656609,129.89445743241944,510.7692622266744,7.9910317579996315,18.28122844734638,35.88851998477561,5.561646949991608,1.1423418197909485,6.763525887350253
5,7,27.409918822475206,72.51796537164688,835.3749846731787,2.220647226402875,20.518756404578745,51.11816762420629,3.3283285293138336,5.326073702668962,9.373045150971002
2,9,24.56135319717758,198.20310154323153,59.72867708667802,39.351296640937164,29.863070721064044,99.66525955963043,6.50595051154392,4.307703882724581,13.566367374135185
8,5,63.42246350499195,254.51539305413135,100.09614724135164,6.566867347913309,3.930353765917322,23.549023260583354,5.000863365781334,3.8783386794101484,2.247708565006723
6,9,68.5036649788472,109.30696996358571,439.43737115613703,7.123025386048625,27.80692725825005,89.91553464235879,6.745983455694204,2.8598598448730415,32.664798946746515
2,4,84.56280185626937,245.31446332402595,457.3665480790442,10.518758210065858,32.68286370663746,95.41424118285471,4.278810650937111,2.4865408022133466,0.9656980148345169
5,5,41.36991407642991,126.20000988950892,41.94631466316952,5.483577704131696,24.95820430717847,74.34932006898873,8.28850123334781,5.033358370005486,0.23371061306555416
1,6,31.67896301762829,117.5676906874534,712.1069173668548,35.08452039614021,25.131491148310577,15.846786127502495,3.839194956994048,3.371744593841006,4.444004569547971
6,7,48.07295207131045,9.319728560147428,429.7507268323392,23.674469608105788,8.97900065038699,84.76787964270135,3.1732030250550456,3.8889724242825396,12.087674049165699
9,9,46.10207208150132,202.86993717682248,303.4831227603789,14.927990784175657,18.467579037518163,89.99311384691637,5.413765160481094,0.640020578698374,38.201261070709194
1,5,28.966343936383744,235.4372327880314,279.78661020330463,24.72604136084545,24.15474395769955,98.37940333547438,4.9825520860823955,3.017494555098363,26.994937498577734
3,8,70.80190556976929,193.6642180558944,742.4219037112504,47.35625411585771,20.930939235375817,86.34183855875814,5.062882660290295,0.8340161039596353,11.663156439525386
7,8,58.12362540652664,45.024948093942,175.65411520330937,52.00915462294799,14.177592981331884,52.874892221054296,7.565170818518237,0.34453567583366296,5.736690838091821
4,7,74.58701359889439,31.075764283777037,144.6881774223859,27.347411715058072,31.437682552733975,73.53522251898403,5.697370923749043,4.411488114275481,9.058498974510451
9,6,46.033561813154435,167.34360971970014,189.67733186869359,31.79483853782822,18.184987657162864,56.23592351637388,8.367389129944351,1.75880788951038,34.6277364412309
3,3,43.941921397271926,117.62001696437146,540.8567263828294,14.428916092066869,32.363139415044934,45.006559709430604,5.971872850053343,6.176343043187087,3.08566734924719
5,9,55.32462861089881,125.62417676751808,699.3807405943445,28.812981241542392,19.736533694725356,68.2462519178113,0.5953102968497284,3.875192557348259,6.506256072321368
3,6,86.69906926812389,281.95563160482084,290.12553219318073,41.96950994906653,26.874225191839045,80.43575736955094,8.233541896473348,4.129037001867654,11.805873569795555
7,2,21.821801271883476,211.18235918022756,155.81104579250098,27.60890049111111,25.276918508083806,69.05156686764641,7.958060434256053,1.2596665275093337,0.10352282573537161
5,2,81.07454334047658,120.60080191809098,186.27986673692473,16.946289734272423,22.751619408500016,85.25916124992798,0.8396488075856453,0.824850474308159,4.8007241733594945
9,2,47.29653998097613,6.642611010065661,535.8780079421715,32.65212687932021,2.6497323029435194,29.991872841006234,1.527560127201928,3.3626143879445465,8.391264714409635
7,7,84.93297449860702,10.99457151701903,217.69423739287384,53.10740333269588,4.608046580559485,46.764036886268556,5.407204096697754,5.923591047753586,23.11810307922313
2,8,80.87073318477887,199.83003247642745,755.9568532733105,49.81589420845257,20.284161363164355,41.569794082409544,0.7856731107776641,0.3567687328512456,48.28021480035436
4,4,45.728996673196846,244.21178801205505,96.48815790908553,43.1544974717431,30.55640221596731,31.500806871762872,4.100511805090723,3.25229896031229,8.12661628257797
